,News,Category
0,Factbox for Solheim Cup to be played at Gleneagles,Sport
1,"Soccer: Iranians should be safe in Hong Kong despite protests, says coach",Sport
2,Barcelona to stage Messi circus,Sport
3,Cricket: England name unchanged squad for final Ashes test,Sport
4,Cricket: Rashid leads Afghanistan to famous test win over Bangladesh,Sport
5,"Tennis: Kenin, Garcia advance to second round in Zhengzhou",Sport
6,Tennis: Nadal defies inspired Medvedev in five-set epic to win U.S. Open,Sport
7,Motor racing: Triumphant Leclerc is now Ferrari's 'forgiven' favourite,Sport
8,Cricket: Taunts from Manchester crowd just 'white noise' for Australia's Lyon,Sport
9,Argentines welcome Maradona as coach of local club Gimnasia y Esgrima,Sport
10,Penalty save sees Liberia through in World Cup qualifier,Sport
11,Cricket: Aussie retention of Ashes 'bitterly disappointing' for Root,Sport
12,Motor racing: Hamilton wants a word with Leclerc about Monza squeeze,Sport
13,Tennis: Mertens and Sabalenka win first Grand Slam title at U.S. Open,Sport
14,Forsberg strike gives Sweden 1-1 draw with Norway,Sport
15,More misery for Greece as Liechtenstein grab late draw,Sport
16,Spain beat Faroe Islands 4-0 for sixth straight win,Sport
17,Harsh penalty earns Italy 2-1 win in Finland,Sport
18,Team by team analysis of the Italian Formula One Grand Prix,Sport
19,"Cricket: Praise for Smith, Cummins goes one louder after retaining Ashes",Sport
20,Penalty save sees Liberia through in World Cup qualifier,Sport
21,Cricket: Aussie retention of Ashes 'bitterly disappointing' for Root,Sport
22,Motor racing: Hamilton wants a word with Leclerc about Monza squeeze,Sport
23,Tennis: Mertens and Sabalenka win first Grand Slam title at U.S. Open,Sport
24,Forsberg strike gives Sweden 1-1 draw with Norway,Sport
25,More misery for Greece as Liechtenstein grab late draw,Sport
26,Spain beat Faroe Islands 4-0 for sixth straight win,Sport
27,Harsh penalty earns Italy 2-1 win in Finland,Sport
28,Team by team analysis of the Italian Formula One Grand Prix,Sport
29,"Cricket: Praise for Smith, Cummins goes one louder after retaining Ashes",Sport
30,Bianca Andreescu fends off Serena Williams comeback to win U.S. Open,Sport
31,Tennis: Canadians embrace #SheTheNorth after Andreescu's win,Sport
32,"As Serena fights for the throne, a duchess watches",Sport
33,"It'll be Smith's Ashes if Australia prevail, says Border",Sport
34,Soccer: Portugal rekindle Euro hopes with 4-2 win in Serbia,Sport
35,Newsmaker: Serena Williams legacy assured even if number 24 remains out of reach,Sport
36,England hope to find spirit of Headingley but Australia's Smith confident,Sport
37,Australia smell victory as England left needing another miracle,Sport
38,Motor racing: Ferrari's Leclerc takes Monza pole in qualifying farce,Sport
39,Motor racing: Hamilton says Monza pole farce marks a dangerous trend,Sport
40,"Tennis: Murray, Mattek-Sands retain U.S. Open mixed doubles crown",Sport
41,Kane nets hat-trick as England romp past Bulgaria,Sport
42,Serena poised for multiple record-breaking U.S. Open final,Sport
43,Motor racing: F3 driver Peroni walks away from huge airborne crash,Sport
44,Flores returns to Watford after Gracia sacked,Sport
45,Flores replaces Gracia as Watford head coach,Sport
46,Unwell England midfielder Lingard withdraws from squad,Sport
47,Record crowd watch City women win Manchester derby,Sport
48,Froome back in hospital after freak accident,Sport
49,Kosovo sweep past Czechs 2-1 with late goal in Euro qualifier,Sport
50,Motor racing: Ferrari's Leclerc takes Monza pole in qualifying farce,Sport
51,Motor racing: Hamilton says Monza pole farce marks a dangerous trend,Sport
52,Bianca Andreescu embraces spotlight with U.S. Open triumph,Sport
53,Ruthless Barca crush Tacon in first women's 'Clasico',Sport
54,"Tennis: Murray, Mattek-Sands retain U.S. Open mixed doubles crown",Sport
55,Kane nets hat-trick as England romp past Bulgaria,Sport
56,Serena poised for multiple record-breaking U.S. Open final,Sport
57,Motor racing: F3 driver Peroni walks away from huge airborne crash,Sport
58,Flores returns to Watford after Gracia sacked,Sport
59,Flores replaces Gracia as Watford head coach,Sport
60,Unwell England midfielder Lingard withdraws from squad,Sport
61,Record crowd watch City women win Manchester derby,Sport
62,Froome back in hospital after freak accident,Sport
63,Kosovo sweep past Czechs 2-1 with late goal in Euro qualifier,Sport
64,Motor racing: Leclerc puts Ferrari on pole at Monza amid last lap farce,Sport
65,Cricket: Broad and Archer strike after England avoid follow-on,Sport
66,Scotland captain Robertson says defeat by Russia a career low,Sport
67,Motor racing: Vettel fastest in final Italian GP practice,Sport
68,Rugby: World Cup-winning Springbok Chester Williams dies aged 49,Sport
69,Netherlands shock stunned Germany in 4-2 comeback win,Sport
70,Motor racing: 'Critical but stable' Correa in induced coma after crash,Sport
71,Medvedev contains demons to beat Dimitrov and reach U.S. Open final,Sport
72,Mexico crush United States as substitutes prove their worth,Sport
73,Nadal and Williams headline party for all ages at U.S. Open,Sport
74,Tennis: Nadal battles past Berrettini to reach U.S. Open final,Sport
75,Arnautovic scores twice in Austria rout of Latvia,Sport
76,Russia hit back to beat Scotland in Euro qualifier,Sport
77,Slovenia end Poland's perfect record in Euro 2020 qualifying,Sport
78,Factbox: Serena Williams versus Bianca Andreescu,Sport
79,Williams to battle 'street fighter' Andreescu in U.S. Open final,Sport
80,Croatia ease past Slovakia as Wales edge Azerbaijan,Sport
81,"Every weapon at hand for Serena in U.S. Open final, says coach",Sport
82,More doubles history for Cabal and Farah with U.S. Open win,Sport
